LP;extension;group;action;done
1;a;programming;copy;
2;acm;music;remove;
3;adr;opera;copy;
4;ai;GraphicEdit;copy;
5;ani;windows;remove;
6;api;GraphicEdit;copy;
7;asp;programming;remove;
8;avi;movies;copy;
9;ax;data_bin;remove;
10;AX;data_bin;remove;
11;bat;scripts;copy;
12;bmp;images;copy;
13;bz2;archives;copy;
14;c;programming;copy;
15;cab;windows;remove;
16;cdt;data_bin;remove;
17;chm;data_bin;remove;
18;class;programming;copy;
19;cnv;GraphicEdit;copy;
20;COM;windows;remove;
21;cp_;programming;copy;
22;CPL;windows;remove;
23;cpl;windows;remove;
24;cpt;GraphicEdit;copy;
25;csv;documents;copy;
26;dat;data_bin;remove;
27;DataWarehouse;data_bin;remove;
28;db;data_bin;remove;
29;dex;data_bin;remove;
30;dll;lib;remove;
31;DLL;lib;remove;
32;Dll;lib;remove;
33;doc;documents;copy;
34;docx;documents;copy;
35;DRIVER;uncategorized;leave;
36;DRV;windows;remove;
37;DS;text;leave;
38;DYNLINK;uncategorized;leave;
39;edb;mail;copy;
40;efi;data_bin;remove;
41;elf;uncategorized;leave;
42;emf;GraphicEdit;copy;
43;ENU;uncategorized;leave;
44;exe;executable;copy;
45;EXE;executable;copy;
46;Exe;executable;copy;
47;f;programming;copy;
48;f130932373_ntsdexts;PhotoRecExt;leave;
49;f14689317_ialmgdev;PhotoRecExt;leave;
50;f14689605_ialmgicd;PhotoRecExt;leave;
51;f14693453_ialmrem;PhotoRecExt;leave;
52;f163507325_imake;PhotoRecExt;leave;
53;f163507477_makedepend;PhotoRecExt;leave;
54;f163511785_imake;PhotoRecExt;leave;
55;f165355537;PhotoRecExt;leave;
56;f1740892185_bootres;PhotoRecExt;leave;
57;f1740892233_bootres;PhotoRecExt;leave;
58;f1742206969_apisetstub;PhotoRecExt;leave;
59;f1742261241_apisetstub;PhotoRecExt;leave;
60;f1742266361_apisetstub;PhotoRecExt;leave;
61;f1742266489_apisetstub;PhotoRecExt;leave;
62;f1742266617_apisetstub;PhotoRecExt;leave;
63;f1742276857_apisetstub;PhotoRecExt;leave;
64;f1742279161_apisetstub;PhotoRecExt;leave;
65;f1742279289_apisetstub;PhotoRecExt;leave;
66;f1742279417_apisetstub;PhotoRecExt;leave;
67;f1742279545_apisetstub;PhotoRecExt;leave;
68;f1742280049_apisetstub;PhotoRecExt;leave;
69;f1742280537_apisetstub;PhotoRecExt;leave;
70;f1742280569_apisetstub;PhotoRecExt;leave;
71;f1742281081_apisetstub;PhotoRecExt;leave;
72;f1742281209_apisetstub;PhotoRecExt;leave;
73;f1742281593_apisetstub;PhotoRecExt;leave;
74;f1742281721_apisetstub;PhotoRecExt;leave;
75;f1742281849_apisetstub;PhotoRecExt;leave;
76;f1742282481_apisetstub;PhotoRecExt;leave;
77;f1742288377_apisetstub;PhotoRecExt;leave;
78;f1742291777_apisetstub;PhotoRecExt;leave;
79;f1742292473_apisetstub;PhotoRecExt;leave;
80;f1742293881_apisetstub;PhotoRecExt;leave;
81;f1742301305_apisetstub;PhotoRecExt;leave;
82;f1742301433_apisetstub;PhotoRecExt;leave;
83;f1742301561_apisetstub;PhotoRecExt;leave;
84;f1742305401_apisetstub;PhotoRecExt;leave;
85;f1742305505_apisetstub;PhotoRecExt;leave;
86;f1742306937_apisetstub;PhotoRecExt;leave;
87;f1742307769_apisetstub;PhotoRecExt;leave;
88;f1742307833_apisetstub;PhotoRecExt;leave;
89;f1742309625_apisetstub;PhotoRecExt;leave;
90;f1742309753_apisetstub;PhotoRecExt;leave;
91;f1742309881_apisetstub;PhotoRecExt;leave;
92;f1742310009_apisetstub;PhotoRecExt;leave;
93;f1742310137_apisetstub;PhotoRecExt;leave;
94;f1742311521_apisetstub;PhotoRecExt;leave;
95;f1742311553_apisetstub;PhotoRecExt;leave;
96;f1742366081_apisetstub;PhotoRecExt;leave;
97;f1742366337_apisetstub;PhotoRecExt;leave;
98;f1742413185_apisetstub;PhotoRecExt;leave;
99;f1742425113_apisetstub;PhotoRecExt;leave;
100;f1742524929_apisetstub;PhotoRecExt;leave;
101;f1742664905_apisetstub;PhotoRecExt;leave;
102;f1782071209_dvdplay;PhotoRecExt;leave;
103;f1782071233_dvdplay;PhotoRecExt;leave;
104;f1782071457_DWWIN;PhotoRecExt;leave;
105;f1782071793_DWWIN;PhotoRecExt;leave;
106;f1782079513_expand;PhotoRecExt;leave;
107;f1782185729_ClrCompression;PhotoRecExt;leave;
108;f1782185849_ClrCompression;PhotoRecExt;leave;
109;f1782185969_ClrCompression;PhotoRecExt;leave;
110;f1782186089_ClrCompression;PhotoRecExt;leave;
111;f1782186209_ClrCompression;PhotoRecExt;leave;
112;f1782186329_ClrCompression;PhotoRecExt;leave;
113;f1782186449_ClrCompression;PhotoRecExt;leave;
114;f1782186577_ClrCompression;PhotoRecExt;leave;
115;f1782186705_ClrCompression;PhotoRecExt;leave;
116;f1782186833_ClrCompression;PhotoRecExt;leave;
117;f1782186961_ClrCompression;PhotoRecExt;leave;
118;f1782187089_ClrCompression;PhotoRecExt;leave;
119;f1782187217_ClrCompression;PhotoRecExt;leave;
120;f1782187345_ClrCompression;PhotoRecExt;leave;
121;f1782187473_ClrCompression;PhotoRecExt;leave;
122;f1782187601_ClrCompression;PhotoRecExt;leave;
123;f1782187729_ClrCompression;PhotoRecExt;leave;
124;f1782188129_ClrCompression;PhotoRecExt;leave;
125;f1782188249_ClrCompression;PhotoRecExt;leave;
126;f1782192281_clusapi;PhotoRecExt;leave;
127;f1782589313_gdi32;PhotoRecExt;leave;
128;f1782601793_apisetstub;PhotoRecExt;leave;
